Ceremony,Year,Class,CanonicalCategory,Category,Film,FilmId,Name,Nominees,NomineeIds,Winner,Detail
74,2001,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,A Beautiful Mind,tt0268978,Russell Crowe,Russell Crowe,nm0000128,,John Nash
74,2001,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,I Am Sam,tt0277027,Sean Penn,Sean Penn,nm0000576,,Sam Dawson
74,2001,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Ali,tt0248667,Will Smith,Will Smith,nm0000226,,Muhammad Ali
74,2001,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Training Day,tt0139654,Denzel Washington,Denzel Washington,nm0000243,TRUE,Alonzo
74,2001,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,In the Bedroom,tt0247425,Tom Wilkinson,Tom Wilkinson,nm0929489,,Matt Fowler
74,2001,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Iris,tt0280778,Jim Broadbent,Jim Broadbent,nm0000980,TRUE,John Bayley
74,2001,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Training Day,tt0139654,Ethan Hawke,Ethan Hawke,nm0000160,,Jake
74,2001,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Sexy Beast,tt0203119,Ben Kingsley,Ben Kingsley,nm0001426,,Don Logan
74,2001,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,The Lord of the Rings: The Fellowship of the Ring,tt0120737,Ian McKellen,Ian McKellen,nm0005212,,Gandalf
74,2001,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Ali,tt0248667,Jon Voight,Jon Voight,nm0000685,,Howard Cosell
74,2001,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Monster's Ball,tt0285742,Halle Berry,Halle Berry,nm0000932,TRUE,Leticia Musgrove
74,2001,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Iris,tt0280778,Judi Dench,Judi Dench,nm0001132,,Iris Murdoch
74,2001,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Moulin Rouge,tt0203009,Nicole Kidman,Nicole Kidman,nm0000173,,Satine
74,2001,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,In the Bedroom,tt0247425,Sissy Spacek,Sissy Spacek,nm0000651,,Ruth Fowler
74,2001,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Bridget Jones's Diary,tt0243155,Renée Zellweger,Renée Zellweger,nm0000250,,Bridget Jones
74,2001,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,A Beautiful Mind,tt0268978,Jennifer Connelly,Jennifer Connelly,nm0000124,TRUE,Alicia Nash
74,2001,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Gosford Park,tt0280707,Helen Mirren,Helen Mirren,nm0000545,,Mrs. Wilson
74,2001,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Gosford Park,tt0280707,Maggie Smith,Maggie Smith,nm0001749,,"Constance, Countess of Trentham"
74,2001,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,In the Bedroom,tt0247425,Marisa Tomei,Marisa Tomei,nm0000673,,Natalie Strout
74,2001,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Iris,tt0280778,Kate Winslet,Kate Winslet,nm0000701,,Young Iris Murdoch
74,2001,Title,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,Jimmy Neutron: Boy Genius,tt0268397,"Steve Oedekerk, John A. Davis",Steve Oedekerk|John A. Davis,nm0644203|nm0204884,,
74,2001,Title,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,"Monsters, Inc.",tt0198781,"Pete Docter, John Lasseter",Pete Docter|John Lasseter,nm0230032|nm0005124,,
74,2001,Title,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,Shrek,tt0126029,Aron Warner,Aron Warner,nm0912403,TRUE,
74,2001,Production,ART DIRECTION,ART DIRECTION,Amélie,tt0211915,Art Direction: Aline Bonetto; Set Decoration: Marie-Laure Valla,Aline Bonetto|Marie-Laure Valla,nm0094355|nm0884831,,
74,2001,Production,ART DIRECTION,ART DIRECTION,Gosford Park,tt0280707,Art Direction: Stephen Altman; Set Decoration: Anna Pinnock,Stephen Altman|Anna Pinnock,nm0022939|nm0003519,,
74,2001,Production,ART DIRECTION,ART DIRECTION,Harry Potter and the Sorcerer's Stone,tt0241527,Art Direction: Stuart Craig; Set Decoration: Stephenie McMillan,Stuart Craig|Stephenie McMillan,nm0186023|nm0573328,,
74,2001,Production,ART DIRECTION,ART DIRECTION,The Lord of the Rings: The Fellowship of the Ring,tt0120737,Art Direction: Grant Major; Set Decoration: Dan Hennah,Grant Major|Dan Hennah,nm0538194|nm0377172,,
74,2001,Production,ART DIRECTION,ART DIRECTION,Moulin Rouge,tt0203009,Art Direction: Catherine Martin; Set Decoration: Brigitte Broch,Catherine Martin|Brigitte Broch,nm0552039|nm0110488,TRUE,
74,2001,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Amélie,tt0211915,Bruno Delbonnel,Bruno Delbonnel,nm0216632,,
74,2001,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Black Hawk Down,tt0265086,Slawomir Idziak,Slawomir Idziak,nm0005744,,
